[08/19/20 16:52:12] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:12:19] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:15:35] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:23:05] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:28:14] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:30:42] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:36:27] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:49:01] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:53:39] [INFO] received Windows console close event; shutting log-core down
[08/19/20 20:56:51] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:05:43] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:10:31] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:12:45] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:17:15] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:23:02] [INFO] received Windows console close event; shutting log-core down
[08/19/20 21:31:02] [INFO] received Windows console close event; shutting log-core down
[08/21/20 22:10:41] [INFO] received Windows console close event; shutting log-core down
[08/21/20 23:02:47] [INFO] received Windows console close event; shutting log-core down
[08/22/20 11:26:09] [INFO] received Windows console close event; shutting log-core down
[08/22/20 11:30:58] [INFO] received Windows console close event; shutting log-core down
[08/22/20 11:51:32] [INFO] received Windows console close event; shutting log-core down
[08/22/20 11:55:07] [INFO] received Windows console close event; shutting log-core down
[08/22/20 12:01:17] [INFO] received Windows console close event; shutting log-core down
[08/22/20 12:05:23] [INFO] received Windows console close event; shutting log-core down
[08/22/20 12:08:44] [INFO] received Windows console close event; shutting log-core down
[08/22/20 12:12:11] [INFO] received Windows console close event; shutting log-core down
[08/22/20 12:52:38] [INFO] received Windows console close event; shutting log-core down
[08/22/20 14:30:24] [INFO] received Windows console close event; shutting log-core down
[08/22/20 14:37:49] [INFO] received Windows console close event; shutting log-core down
[08/22/20 14:42:45] [INFO] received Windows console close event; shutting log-core down
[08/22/20 14:54:54] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:05:02] [INFO] received Windows console close event; shutting log-core down
[08/22/20 15:10:26] [INFO] received Windows console close event; shutting log-core down
[08/22/20 16:33:14] [INFO] received Windows console close event; shutting log-core down
[08/22/20 17:06:49] [INFO] received Windows console close event; shutting log-core down
[08/22/20 17:23:45] [INFO] received Windows console close event; shutting log-core down
[08/22/20 17:28:02] [INFO] received Windows console close event; shutting log-core down
[08/22/20 17:35:17] [INFO] received Windows console close event; shutting log-core down
[08/22/20 17:41:12] [INFO] received Windows console close event; shutting log-core down
